Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,duration,duration_formatted,Found
55270000,2022-08-31 23:59:01,2022-09-01 05:12:52,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10001.0,6 AVENUE,6 AVENUE,6 AVENUE,WEST   34 STREET,6 AVENUE,WEST 34 STREET,INTERSECTION,MANHATTAN,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 05:12:52 AM,05 MANHATTAN,,MANHATTAN,987639.0,212445.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74978835571634,-73.98776859948752,"(40.74978835571634, -73.98776859948752)",11722.0,11.0,4.0,51.0,8.0,5.230833333333333,0 days 5 hours 13 minutes 51 seconds,0.0
55270017,2022-08-31 23:29:06,2022-09-01 02:54:08,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11209.0,420 OVINGTON AVENUE,420 OVINGTON AVENUE,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,OVINGTON AVENUE,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 02:54:08 AM,10 BROOKLYN,3058920016.0,BROOKLYN,977823.0,170035.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.63338102912359,-74.02315552884377,"(40.63338102912359, -74.02315552884377)",17216.0,10.0,2.0,44.0,41.0,3.417222222222222,0 days 3 hours 25 minutes 2 seconds,0.0
55266365,2022-08-31 22:57:58,2022-09-01 06:56:16,DHS,Department of Homeless Services,Encampment,,Store/Commercial,10003.0,149 SECOND AVENUE,149 SECOND AVENUE,EAST    9 STREET,EAST   10 STREET,EAST    9 STREET,EAST   10 STREET,ADDRESS,NEW YORK,2 AVENUE,,Closed,,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,09/01/2022 06:56:22 AM,03 MANHATTAN,1004650053.0,MANHATTAN,987819.0,205006.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.72937007704444,-73.98712289978198,"(40.72937007704444, -73.98712289978198)",11724.0,70.0,4.0,50.0,5.0,7.971666666666667,0 days 7 hours 58 minutes 18 seconds,1.0
55267569,2022-08-31 22:55:35,2022-09-04 01:28:11,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,11377.0,"64-01, Broadway, Woodside, Queens, City of New York, New York, 11377, United States","64-01, Broadway, Woodside, Queens, City of New York, New York, 11377, United States",QUEENS,,,,ADDRESS,City of New York,,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",09/04/2022 01:28:11 AM,Unspecified QUEENS,,QUEENS,1012386.0,212417.0,MOBILE,Unspecified,QUEENS,,,,R,,,Stairway,40.74966739007307,-73.89845319094752,"(40.74966739007307, -73.89845319094752)",14787.0,53.0,3.0,33.0,66.0,74.54333333333334,3 days 2 hours 32 minutes 36 seconds,1.0
55268752,2022-08-31 22:53:18,2022-09-01 00:48:53,DHS,Department of Homeless Services,Homeless Person Assistance,,Park/Playground,10025.0,RIVERSIDE PARK,RIVERSIDE PARK,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET 12 NB,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,PLACENAME,NEW YORK,RIVERSIDE PARK,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 12:48:53 AM,07 MANHATTAN,1012540002.0,MANHATTAN,991626.0,230829.0,PHONE,Riverside Park,MANHATTAN,,,,,,,,40.80024518031856,-73.97335875005403,"(40.800245180318555, -73.97335875005403)",12421.0,20.0,4.0,19.0,15.0,1.926388888888889,0 days 1 hours 55 minutes 35 seconds,0.0
55268725,2022-08-31 22:46:18,2022-08-31 23:52:34,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,11377.0,39-63 63 STREET,39-63 63 STREET,FLUSHING LINE,TRIMBLE ROAD,FLUSHING LINE,TRIMBLE ROAD,ADDRESS,WOODSIDE,63 STREET,,Closed,,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",08/31/2022 11:52:34 PM,02 QUEENS,4012950047.0,QUEENS,1011600.0,210845.0,PHONE,Unspecified,QUEENS,,,,,,,,40.745355113918,-73.90129636675384,"(40.745355113918, -73.90129636675384)",14787.0,53.0,3.0,33.0,66.0,1.1044444444444446,0 days 1 hours 6 minutes 16 seconds,
55267565,2022-08-31 22:31:58,2022-09-04 22:54:16,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,11217.0,"7th Avenue, Flatbush Avenue, Prospect Heights, Brooklyn, Kings County, City of New York, New York, 11217, United States","7th Avenue, Flatbush Avenue, Prospect Heights, Brooklyn, Kings County, City of New York, New York, 11217, United States",BROOKLYN,,,,ADDRESS,City of New York,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/04/2022 10:54:16 PM,Unspecified BROOKLYN,,BROOKLYN,991914.0,185945.0,MOBILE,Unspecified,BROOKLYN,,,,Q,B Q to Brighton Beach & Coney Island,,Platform,40.677049511904656,-73.97236966310787,"(40.677049511904656, -73.97236966310787)",17619.0,14.0,2.0,27.0,50.0,96.37166666666668,4 days 0 hours 22 minutes 18 seconds,0.0
55265191,2022-08-31 22:27:56,2022-09-01 01:06:56,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10025.0,RIVERSIDE DRIVE,RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST   95 STREET,RIVERSIDE DRIVE,WEST 95 STREET,INTERSECTION,MANHATTAN,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 01:06:56 AM,07 MANHATTAN,,MANHATTAN,990915.0,229110.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79552755821013,-73.97592850499105,"(40.79552755821013, -73.97592850499105)",12421.0,20.0,4.0,19.0,15.0,2.65,0 days 2 hours 39 minutes 0 seconds,0.0
55270009,2022-08-31 22:21:14,2022-09-04 01:28:18,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,11415.0,"Kew Gardens–Union Turnpike, Queens Boulevard, Kew Gardens, Queens, City of New York, New York, 11415, United States","Kew Gardens–Union Turnpike, Queens Boulevard, Kew Gardens, Queens, City of New York, New York, 11415, United States",QUEENS,,,,ADDRESS,City of New York,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/04/2022 01:28:18 AM,Unspecified QUEENS,,QUEENS,1031098.0,199611.0,MOBILE,Unspecified,QUEENS,,,,E,,,Mezzanine,40.7144387915348,-73.83100823135499,"(40.714438791534796, -73.83100823135499)",14786.0,40.0,3.0,28.0,70.0,75.11777777777777,3 days 3 hours 7 minutes 4 seconds,0.0
55266363,2022-08-31 22:08:22,2022-09-01 01:11:27,DHS,Department of Homeless Services,Homeless Person Assistance,,Park/Playground,10025.0,RIVERSIDE DRIVE,RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST   95 STREET,RIVERSIDE DRIVE,WEST 95 STREET,INTERSECTION,MANHATTAN,,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",09/01/2022 01:11:27 AM,07 MANHATTAN,,MANHATTAN,990915.0,229110.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79552755821013,-73.97592850499105,"(40.79552755821013, -73.97592850499105)",12421.0,20.0,4.0,19.0,15.0,3.051388888888889,0 days 3 hours 3 minutes 5 seconds,1.0
