Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,duration,duration_formatted,Found
56673450,2023-01-31 23:58:53,2023-02-01 06:51:45,DHS,Department of Homeless Services,Encampment,,Street/Sidewalk,10016.0,123 EAST   38 STREET,EAST   38 STREET,PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   38 STREET,,Closed,,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,02/01/2023 06:51:47 AM,06 MANHATTAN,1008940016.0,MANHATTAN,990271.0,212192.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74909253408642,-73.97826955037394,"(40.74909253408642, -73.97826955037394)",12078.0,71.0,4.0,51.0,9.0,6.881111111111111,0 days 6 hours 52 minutes 52 seconds,1.0
56673693,2023-01-31 22:59:21,2023-02-01 06:43:14,DHS,Department of Homeless Services,Encampment,,Street/Sidewalk,10010.0,356 FIRST AVENUE,FIRST AVENUE,EAST   20 STREET,EAST   21 STREET,EAST   20 STREET,EAST   21 STREET,ADDRESS,NEW YORK,1 AVENUE,,Closed,,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,02/01/2023 06:43:18 AM,06 MANHATTAN,,MANHATTAN,989915.0,207149.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.73525099176252,-73.97955864064231,"(40.73525099176252, -73.97955864064231)",12073.0,71.0,4.0,51.0,7.0,7.731388888888889,0 days 7 hours 43 minutes 53 seconds,1.0
56670050,2023-01-31 22:11:25,2023-02-01 06:35:53,DHS,Department of Homeless Services,Encampment,,Street/Sidewalk,10019.0,60 WEST   57 STREET,WEST   57 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   57 STREET,,Closed,,"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request.",02/01/2023 06:35:56 AM,05 MANHATTAN,1012720001.0,MANHATTAN,990947.0,217528.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76373800741136,-73.97582447734358,"(40.76373800741136, -73.97582447734358)",12081.0,11.0,4.0,51.0,10.0,8.40777777777778,0 days 8 hours 24 minutes 28 seconds,0.0
56676041,2023-01-31 20:18:14,2023-02-01 09:21:26,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,11369.0,LAGUARDIA AIRPORT,LAGUARDIA AIRPORT,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,94 STREET,GRAND CENTRAL PARKWAY ET 7 EB,INTERSECTION,QUEENS,LA GUARDIA AIRPORT,,Closed,,The Department of Homeless Services has reviewed your Service Request and determined that the issue is not within its jurisdiction.,02/01/2023 09:21:26 AM,03 QUEENS,4009260001.0,QUEENS,1018585.0,220331.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.7713673711628,-73.87603972953113,"(40.7713673711628, -73.87603972953113)",14782.0,65.0,3.0,21.0,73.0,13.053333333333333,0 days 13 hours 3 minutes 12 seconds,
56670091,2023-01-31 15:40:15,2023-02-04 10:38:54,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,10035.0,"East 86th Street & Lexington Avenue at Southeast Corner, Lexington Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10035, United States",,,,,,ADDRESS,City of New York,,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",02/04/2023 10:38:54 AM,Unspecified MANHATTAN,,MANHATTAN,996549.0,223269.0,MOBILE,Unspecified,MANHATTAN,,,,4,,,Stairway,40.77948953337519,-73.95559129495116,"(40.77948953337519, -73.95559129495116)",12425.0,23.0,4.0,51.0,11.0,90.9775,3 days 18 hours 58 minutes 39 seconds,1.0
56674832,2023-01-31 15:32:52,2023-02-01 13:44:07,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11201.0,2 METROTECH,METROTECH,LAWRENCE STREET,BRIDGE STREET,LAWRENCE STREET,BRIDGE STREET,ADDRESS,BROOKLYN,METROTECH CENTER,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,02/01/2023 01:44:07 PM,02 BROOKLYN,3001480007.0,BROOKLYN,988217.0,192020.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69372642653772,-73.9856945509795,"(40.693726426537715, -73.9856945509795)",16865.0,68.0,2.0,38.0,54.0,22.1875,0 days 22 hours 11 minutes 15 seconds,0.0
56669543,2023-01-31 13:59:45,2023-02-01 14:00:26,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,11201.0,2 METRO TECH,METRO TECH,LAWRENCE STREET,BRIDGE STREET,LAWRENCE STREET,BRIDGE STREET,ADDRESS,BROOKLYN,METROTECH CENTER,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,02/01/2023 02:00:26 PM,02 BROOKLYN,3001480007.0,BROOKLYN,988217.0,192020.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69372642653772,-73.9856945509795,"(40.693726426537715, -73.9856945509795)",16865.0,68.0,2.0,38.0,54.0,24.011388888888888,1 days 0 hours 0 minutes 41 seconds,0.0
56670950,2023-01-31 13:45:10,2023-01-31 13:55:57,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,10031.0,"137th Street-City College, Broadway, Hamilton Heights, Manhattan, New York County, City of New York, New York, 10031, United States",,,,,,ADDRESS,City of New York,,,Closed,,The Department of Homeless Services did not have enough information to act on your request.,01/31/2023 01:55:57 PM,Unspecified MANHATTAN,,MANHATTAN,997071.0,238760.0,MOBILE,Unspecified,MANHATTAN,,,,1,,,Entrance,40.82200734475839,-73.95367690084153,"(40.82200734475839, -73.95367690084153)",12428.0,37.0,4.0,23.0,19.0,0.1797222222222222,0 days 0 hours 10 minutes 47 seconds,
56672785,2023-01-31 13:42:50,2023-02-01 03:33:42,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10023.0,1841 BROADWAY,BROADWAY,WEST 60 STREET,WEST 61 STREET,WEST   60 STREET,WEST   61 STREET,ADDRESS,NEW YORK,BROADWAY,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",02/01/2023 03:33:42 AM,07 MANHATTAN,1011130018.0,MANHATTAN,989205.0,219506.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.76916825312272,-73.98211147059014,"(40.769168253122714, -73.98211147059014)",12420.0,20.0,4.0,10.0,12.0,13.847777777777775,0 days 13 hours 50 minutes 52 seconds,1.0
56676965,2023-01-31 13:41:25,2023-01-31 13:46:20,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,11412.0,191-05 LINDEN BOULEVARD,LINDEN BOULEVARD,191 STREET,192 STREET,191 STREET,192 STREET,ADDRESS,SAINT ALBANS,LINDEN BOULEVARD,,Closed,,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",01/31/2023 01:46:20 PM,12 QUEENS,4110620024.0,QUEENS,1050774.0,191585.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69228332233652,-73.76011185315339,"(40.692283322336515, -73.76011185315339)",15312.0,41.0,3.0,6.0,71.0,0.0819444444444444,0 days 0 hours 4 minutes 55 seconds,
